question_id,question_correct_rate,question_avg_response_time,question_response_time_std,question_interaction_count,difficulty_encoded,response_time_log,topic_Classification & Modeling,topic_Clustering & Unsupervised,topic_Data & Features,topic_Misc / Tools,topic_Rules & Patterns,topic_unknown,difficulty_x_topic_Classification & Modeling,difficulty_x_topic_Clustering & Unsupervised,difficulty_x_topic_Data & Features,difficulty_x_topic_Misc / Tools,difficulty_x_topic_Rules & Patterns,difficulty_x_topic_unknown,correct
6,0.1719788116721598,0.05240828769427301,-0.16026262363182758,-2.4252749560924785,0,-0.018869065137233503,0,0,0,1,0,0,0,0,0,0,0,0,1
115,0.5837145758137556,-0.6097811663211553,-0.7158215384941234,0.4247025268733371,0,-0.7361487166121127,1,0,0,0,0,0,0,0,0,0,0,0,1
58,0.3112484123582404,-0.13923291907309093,-0.3105121175681538,0.044705529144561655,0,0.19480040140996996,1,0,0,0,0,0,0,0,0,0,0,0,0
114,-0.43384167408889446,0.9148979635939658,2.10097912665727,1.5646935200596632,0,0.8924754115702648,1,0,0,0,0,0,0,0,0,0,0,0,1
25,-1.7628263678899887,1.4498047182125795,0.584622380062202,-0.5252899674486015,2,1.6380244877146537,0,1,0,0,0,0,0,2,0,0,0,0,1
68,0.7134623319169836,-0.15222737396103334,-0.16937230144714704,-0.5252899674486015,0,-0.5880700533777269,0,1,0,0,0,0,0,0,0,0,0,0,1
80,0.6764769010612613,-0.7904715800807489,-1.5618805353693874,-1.8552794594993154,0,-0.5313883683589445,0,1,0,0,0,0,0,0,0,0,0,0,1
28,-0.3652449498354038,0.996586460244493,2.103074662036828,0.044705529144561655,1,0.8253820757405759,0,0,1,0,0,0,0,0,1,0,0,0,0
54,0.4385768515256023,-0.3761904536237241,-0.5622559522349857,0.6147010257377248,0,-0.057305250132123585,1,0,0,0,0,0,0,0,0,0,0,0,1
125,0.8836658726759392,-0.845301563118997,-0.34775545093729304,0.044705529144561655,0,-0.6146995975981465,0,0,0,0,1,0,0,0,0,0,0,0,1
76,0.1408167633547376,0.49801409431163635,0.2718437585817132,-1.0952854640417646,0,0.7568398979102504,0,1,0,0,0,0,0,0,0,0,0,0,0
98,0.699758221626367,-0.9317558249441866,-0.5340336397585176,0.9946980234665002,0,-0.6444387214649604,1,0,0,0,0,0,0,0,0,0,0,0,1
31,-0.6477068319312879,1.323288078781502,2.643086533744072,-1.6652809606349277,1,0.757600513386294,0,0,0,1,0,0,0,0,0,1,0,0,1
36,-0.3013556766395101,0.9855648400200623,0.9113744608395141,0.8046995246021125,1,2.006699629459198,0,0,1,0,0,0,0,0,1,0,0,0,0
118,-1.9971101542298264,0.8931602193651963,0.5906525920214545,-2.045277958363703,2,0.956406371137485,1,0,0,0,0,0,2,0,0,0,0,0,0
